text_id,question_id,answer
1,1,B
1,2,A
1,3,A
1,4,D
1,5,A
1,6,C
1,7,C
1,8,D
1,9,D
1,10,B
2,1,B
2,2,D
2,3,B
2,4,A
2,5,C
2,6,A
2,7,A
2,8,D
2,9,C
2,10,C
3,1,A
3,2,A
3,3,C
3,4,D
3,5,C
3,6,D
3,7,B
3,8,C
3,9,A
3,10,B
4,1,A
4,2,A
4,3,C
4,4,B
4,5,D
4,6,B
4,7,C
4,8,B
4,9,C
4,10,A
5,1,C
5,2,B
5,3,D
5,4,D
5,5,A
5,6,D
5,7,A
5,8,D
5,9,B
5,10,C
6,1,B
6,2,B
6,3,D
6,4,C
6,5,B
6,6,D
6,7,D
6,8,C
6,9,C
6,10,A
7,1,C
7,2,C
7,3,B
7,4,A
7,5,D
7,6,D
7,7,C
7,8,B
7,9,A
7,10,B
8,1,C
8,2,B
8,3,C
8,4,A
8,5,A
8,6,B
8,7,A
8,8,C
8,9,A
8,10,C
9,1,B
9,2,A
9,3,C
9,4,D
9,5,B
9,6,C
9,7,B
9,8,C
9,9,B
9,10,B
10,1,D
10,2,B
10,3,C
10,4,B
10,5,B
10,6,C
10,7,D
10,8,A
10,9,C
10,10,A
11,1,D
11,2,A
11,3,C
11,4,B
11,5,D
11,6,B
11,7,A
11,8,D
11,9,B
11,10,B
12,1,A
12,2,A
12,3,D
12,4,C
12,5,C
12,6,D
12,7,C
12,8,B
12,9,D
12,10,C
13,1,B
13,2,B
13,3,D
13,4,B
13,5,A
13,6,C
13,7,B
13,8,D
13,9,A
13,10,C
14,1,D
14,2,C
14,3,A
14,4,B
14,5,A
14,6,B
14,7,D
14,8,D
14,9,A
14,10,C
15,1,D
15,2,B
15,3,A
15,4,D
15,5,C
15,6,A
15,7,B
15,8,B
15,9,B
15,10,A
16,1,A
16,2,D
16,3,B
16,4,C
16,5,D
16,6,C
16,7,B
16,8,A
16,9,D
16,10,A
17,1,B
17,2,D
17,3,D
17,4,C
17,5,B
17,6,D
17,7,C
17,8,A
17,9,A
17,10,C
18,1,D
18,2,B
18,3,A
18,4,A
18,5,C
18,6,A
18,7,C
18,8,A
18,9,B
18,10,D
19,1,B
19,2,A
19,3,C
19,4,D
19,5,C
19,6,A
19,7,D
19,8,C
19,9,C
19,10,A
20,1,B
20,2,C
20,3,C
20,4,A
20,5,B
20,6,D
20,7,A
20,8,D
20,9,A
20,10,D
21,1,B
21,2,C
21,3,B
21,4,D
21,5,C
21,6,C
21,7,B
21,8,A
21,9,D
21,10,A
22,1,B
22,2,C
22,3,A
22,4,B
22,5,B
22,6,C
22,7,D
22,8,A
22,9,B
22,10,D
23,1,B
23,2,C
23,3,A
23,4,D
23,5,B
23,6,C
23,7,D
23,8,C
23,9,B
23,10,C
24,1,B
24,2,B
24,3,A
24,4,A
24,5,C
24,6,C
24,7,B
24,8,A
24,9,D
24,10,D
25,1,B
25,2,A
25,3,C
25,4,A
25,5,B
25,6,D
25,7,D
25,8,D
25,9,A
25,10,B
26,1,C
26,2,A
26,3,B
26,4,B
26,5,C
26,6,A
26,7,D
26,8,B
26,9,C
26,10,A
27,1,C
27,2,A
27,3,C
27,4,C
27,5,A
27,6,B
27,7,C
27,8,B
27,9,A
27,10,D
28,1,A
28,2,C
28,3,D
28,4,B
28,5,A
28,6,D
28,7,D
28,8,A
28,9,A
28,10,C
29,1,A
29,2,B
29,3,D
29,4,B
29,5,B
29,6,D
29,7,C
29,8,B
29,9,C
29,10,D
30,1,B
30,2,D
30,3,A
30,4,D
30,5,B
30,6,A
30,7,C
30,8,D
30,9,A
30,10,C
31,1,B
31,2,C
31,3,C
31,4,D
31,5,D
31,6,A
31,7,B
31,8,A
31,9,B
31,10,B
32,1,A
32,2,D
32,3,A
32,4,B
32,5,D
32,6,B
32,7,D
32,8,C
32,9,B
32,10,C
33,1,C
33,2,B
33,3,B
33,4,A
33,5,D
33,6,D
33,7,B
33,8,C
33,9,A
33,10,B
34,1,B
34,2,D
34,3,A
34,4,A
34,5,B
34,6,D
34,7,B
34,8,A
34,9,C
34,10,B
35,1,A
35,2,A
35,3,D
35,4,D
35,5,D
35,6,B
35,7,D
35,8,A
35,9,B
35,10,B
36,1,D
36,2,C
36,3,A
36,4,B
36,5,A
36,6,C
36,7,D
36,8,D
36,9,C
36,10,C
37,1,B
37,2,C
37,3,B
37,4,C
37,5,A
37,6,C
37,7,A
37,8,B
37,9,D
37,10,D
38,1,C
38,2,C
38,3,B
38,4,A
38,5,A
38,6,C
38,7,B
38,8,A
38,9,B
38,10,B
39,1,B
39,2,D
39,3,A
39,4,A
39,5,C
39,6,D
39,7,A
39,8,B
39,9,B
39,10,C
40,1,A
40,2,D
40,3,B
40,4,D
40,5,C
40,6,B
40,7,C
40,8,A
40,9,C
40,10,A
41,1,A
41,2,B
41,3,B
41,4,D
41,5,A
41,6,D
41,7,C
41,8,D
41,9,A
41,10,B
42,1,B
42,2,A
42,3,C
42,4,C
42,5,C
42,6,C
42,7,A
42,8,A
42,9,B
42,10,D
43,1,A
43,2,B
43,3,A
43,4,C
43,5,C
43,6,D
43,7,C
43,8,C
43,9,B
43,10,D
44,1,A
44,2,B
44,3,C
44,4,D
44,5,D
44,6,A
44,7,D
44,8,B
44,9,C
44,10,D
45,1,B
45,2,A
45,3,C
45,4,A
45,5,B
45,6,D
45,7,C
45,8,A
45,9,C
45,10,B
46,1,D
46,2,A
46,3,C
46,4,B
46,5,B
46,6,C
46,7,D
46,8,D
46,9,A
46,10,D
47,1,B
47,2,B
47,3,C
47,4,A
47,5,D
47,6,A
47,7,A
47,8,C
47,9,B
47,10,A
48,1,C
48,2,A
48,3,A
48,4,B
48,5,B
48,6,C
48,7,C
48,8,C
48,9,D
48,10,B
49,1,D
49,2,A
49,3,B
49,4,A
49,5,C
