text_id,question_id,answer
4,1,A
4,2,B
4,3,C
4,4,D
4,5,A
4,6,B
4,7,B
4,8,B
4,9,A
4,10,B
5,1,A
5,2,B
5,3,B
5,4,D
5,5,A
5,6,B
5,7,B
5,8,D
5,9,A
5,10,B
6,1,A
6,2,C
6,3,A
6,4,A
6,5,C
6,6,B
6,7,B
6,8,D
6,9,A
6,10,B
7,1,A
7,2,B
7,3,A
7,4,D
7,5,A
7,6,D
7,7,B
7,8,D
7,9,A
7,10,B
8,1,A
8,2,B
8,3,C
8,4,A
8,5,A
8,6,D
8,7,C
8,8,A
8,9,A
8,10,B
9,1,A
9,2,C
9,3,C
9,4,D
9,5,A
9,6,B
9,7,C
9,8,D
9,9,A
9,10,B
10,1,A
10,2,B
10,3,C
10,4,D
10,5,A
10,6,B
10,7,C
10,8,D
10,9,A
10,10,B
