text_id,question_id,answer
2,1,A
2,2,B
2,3,A
2,4,C
2,5,A
2,6,B
2,7,B
2,8,D
2,9,A
2,10,A
3,1,A
3,2,B
3,3,C
3,4,D
3,5,B
3,6,B
3,7,C
3,8,D
3,9,A
3,10,B
4,1,A
4,2,B
4,3,C
4,4,A
4,5,A
4,6,B
4,7,C
4,8,D
4,9,A
4,10,B
5,1,A
5,2,B
5,3,C
5,4,D
5,5,A
5,6,A
5,7,C
5,8,D
5,9,A
5,10,B
6,1,A
6,2,B
6,3,C
6,4,D
6,5,A
6,6,B
6,7,C
6,8,D
6,9,A
6,10,B
7,1,A
7,2,B
7,3,C
7,4,D
7,5,A
7,6,B
7,7,C
7,8,D
7,9,D
7,10,B
8,1,A
8,2,B
8,3,C
8,4,D
8,5,A
8,6,D
8,7,B
8,8,D
8,9,D
8,10,B
9,1,A
9,2,C
9,3,C
9,4,C
9,5,D
9,6,B
9,7,B
9,8,C
9,9,A
9,10,B
10,1,A
10,2,B
10,3,D
10,4,C
10,5,C
10,6,B
10,7,B
10,8,D
10,9,C
10,10,B
